,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Horse's Neck,Lemon peel,1 long strip ,Brandy,2 oz ,Ginger ale,5 oz ,Bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Gideon's Green Dinosaur,Dark rum,1/2 oz ,Vodka,1/2 oz ,Triple sec,1/2 oz ,Tequila,1/2 oz ,Melon liqueur,1/2 oz ,Mountain Dew,Fill with ,, ,, ,, ,, ,, ,,,,,,,,
Auburn Headbanger,Jägermeister,1 oz ,Goldschlager,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Port And Starboard,Grenadine,1 tblsp ,Green Creme de Menthe,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Belgian Blue,Vodka,2 cl ,Coconut liqueur,1 cl ,Blue Curacao,1 cl ,Sprite,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Zombie,Rum,1 1/2 oz,Gold rum,1 1/2 oz,151 proof rum,1 oz,Pernod,1 tsp,Grenadine,1 tsp,Lime Juice,1 tsp,Angostura Bitters,1 drop,,,,,,,,,,,,,,,,
Cafe Savoy,Coffee,"
",Milk,1/2 oz ,Triple sec,1/2 oz ,Brandy, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Scotch Cobbler,Scotch,2 oz ,Brandy,4 dashes ,Curacao,4 dashes ,Orange,1 slice ,Mint,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Clover Club,Gin,1 1/2 oz ,Grenadine,2 tsp ,Lemon,Juice of 1/2 ,Egg white,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
GG,Galliano,2 1/2 shots ,Ginger ale,"
",Ice, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Pink Lady,Gin,1 1/2 oz ,Grenadine,1 tsp ,Light cream,1 tsp ,Egg white,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Affair,Strawberry schnapps,2 oz ,Orange juice,2 oz ,Cranberry juice,2 oz ,Club soda,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Flying Dutchman,Gin,2 oz ,Triple sec,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Caribbean Boilermaker,Corona,1 bottle ,Light rum,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Zoksel,Beer,"
",Root beer,"
",Lemonade,"
",Coca-Cola," slice
",7-Up,"
",Creme de Cassis,"
",Lemon,"
",,"
",,"
",,,,,,,,,,,,
Dry Rob Roy,Scotch,2 1/2 oz ,Dry Vermouth,1 1/2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Vampiro,Tequila,6 cl,Tomato Juice,3 cl,Orange Juice,3 cl,Lime Juice,1.5 cl,Sugar Syrup,1 dash,Salt,1 pinch,, ,,,,,,,,,,,,,,,,
Van Vleet,Light rum,3 oz ,Maple syrup,1 oz ,Lemon juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Egg Cream,Chocolate syrup,2 tblsp ,Milk,6 oz whole ,Soda water,6 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Harvey Wallbanger,Vodka,1 oz ,Galliano,1/2 oz ,Orange juice,4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
The Evil Blue Thing,Creme de Cacao,1 1/2 oz ,Blue Curacao,1 oz ,Light rum,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Highland Fling Cocktail,Scotch,1 1/2 oz ,Sweet Vermouth,3/4 oz ,Orange bitters,2 dashes ,Olive,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Kir Royale,Creme de Cassis,1 part ,Champagne,5 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Vodka And Tonic,Vodka,2 oz ,Tonic water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
Addison,Gin,1 1/2 shot ,Vermouth,1 1/2 shot ,,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
Cuba Libra,Dark rum,1-2 shot ,Lime,Squeeze ,Coca-Cola,Fill with ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Popped cherry,Vodka,2 oz ,Cherry liqueur,2 oz ,Cranberry juice,4 oz ,Orange juice,4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
After Supper Cocktail,Triple sec,1 oz ,Apricot brandy,1 oz ,Lemon juice,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Gentleman's Club,Gin,1 1/2 oz ,Brandy,1 oz ,Sweet Vermouth,1 oz ,Club soda,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Jack Rose Cocktail,Apple brandy,1 1/2 oz ,Grenadine,1 tsp ,Lime,Juice of 1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Arctic Mouthwash,Maui,5 oz blue ,Mountain Dew,5 oz ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Brandy Sour,Brandy,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1/2 tsp ,Lemon,1/2 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Bible Belt,Southern Comfort,2 oz ,Triple sec,1/2 oz ,Lime,2 wedges ,Sour mix,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Chocolate Milk,Chocolate liqueur,1/2 shot ,Milk,1/2 shot ,Amaretto,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Boston Sidecar,Light rum,3/4 oz ,Brandy,3/4 oz ,Triple sec,3/4 oz ,Lime,Juice of 1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
155 Belmont,Dark rum,1 shot ,Light rum,2 shots ,Vodka,1 shot ,Orange juice,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,
A. J.,Applejack,1 1/2 oz ,Grapefruit juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Girl From Ipanema,Cachaca,25 ml,Lemon Juice,15 ml,Agave Syrup,10 ml,Champagne,top up with,,,,,,,,,,,,,,,,,,,,,,
Midnight Manx,Kahlua,1 oz ,Bailey's irish cream,1 oz ,Goldschlager,dash ,Heavy cream,2 oz ,Coffee,2 oz Hazlenut ,, ,, ,, ,, ,, ,,,,,,,,,,
Martinez Cocktail,Gin,1 oz ,Dry Vermouth,1 oz ,Triple sec,1/4 tsp ,Orange bitters,1 dash ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
French 75,Gin,1 1/2 oz ,Sugar,2 tsp superfine ,Lemon juice,1 1/2 oz ,Champagne,4 oz Chilled ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
Pegu Club,Gin,1 1/2 oz,Orange Curacao,3/4 oz,Lime Juice,3/4 oz,Angostura Bitters,1 dash,Orange Bitters,1 dash,,,,,,,,,,,,,,,,,,,,
Frisco Sour,Blended whiskey,2 oz ,Benedictine,1/2 oz ,Lemon,Juice of 1/4 ,Lime,Juice of 1/2 ,Lemon,1 slice ,Lime,1 slice ,, ,, ,, ,, ,, ,,,,,,,,
Zizi Coin-coin,Cointreau,5 cl ,Lemon juice,2 cl ,Ice," cubes
",Lemon," or lime
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Radioactive Long Island Iced Tea,Rum,1 oz ,Vodka,1 oz ,Tequila,1 oz ,Gin,1 oz ,Triple sec,1 oz ,Chambord raspberry liqueur,1 oz ,Midori melon liqueur,1 oz ,Malibu rum,1 oz ,, ,, ,, ,, ,, ,,,,
Bermuda Highball,Brandy,3/4 oz ,Gin,3/4 oz ,Dry Vermouth,3/4 oz ,Carbonated water,"
",Lemon peel,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
Archbishop,Gin,2 oz ,Wine,1 oz Green Ginger ,Benedictine,1 tsp ,Lime,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Rum Toddy,Rum,2 oz light or dark ,Powdered sugar,2 tsp ,Lemon peel,1 twist of ,Water,2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Sangria #1,Red wine,1 bottle ,Sugar,1/2 cup ,Orange juice,1 cup ,Lemon juice,1 cup ,Cloves,"
",Cinnamon, ,, ,, ,, ,, ,,,,,,,,,,
Banana Milk Shake,Milk,10 cl cold ,Orange juice,4 cl ,Sugar syrup,2 tsp ,Banana,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Strawberry Lemonade,Lemon,Juice of 1 ,Sugar,1 tblsp ,Strawberries,8-10 ripe ,Water,1 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Quick-sand,Black Sambuca,25 ml ,Orange juice,Add 250 ml ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Apple Slammer,7-Up,1 part ,Apple schnapps,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Brandy Alexander,Brandy,1 oz ,Creme de Cacao,1 oz white ,Light cream,1 oz ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Screaming Orgasm,Vodka,1 oz ,Bailey's irish cream,1 1/2 oz ,Kahlua,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Aviation,Gin,4.5 cl,lemon juice,1.5 cl,maraschino liqueur,1.5 cl,,,,,,,,,,,,,,,,,,,,,,,,
Victory Collins,Vodka,1 1/2 oz ,Lemon juice,3 oz ,Grape juice,3 oz unsweetened ,Powdered sugar,1 tsp ,Orange,1 slice ,, ,, ,, ,, ,, ,,,,,,,,,,
Black &amp; Tan,Ale,1 part Bass pale ,Guinness stout,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Ziemes Martini Apfelsaft,Vermouth,4 cl ,Apple juice,16 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
252,151 proof rum,1/2 shot Bacardi ,Wild Turkey,1/2 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Ipamena,Lime,½,Brown sugar,2 tsp,Passion fruit juice,4 cl,Ginger ale,top up with,Ice,fill,,,,,,,,,,,,,,,,,,,,
Bailey's Dream Shake,Bailey's irish cream,2 oz ,Vanilla ice-cream,2 scoops ,Cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Bourbon Sour,Bourbon,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Coffee-Vodka,Water,2 cups ,Sugar,2 cups white ,Coffee,1/2 cup instant ,Vanilla,1/2 ,Vodka,1 1/2 cup ,Caramel coloring,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
Amaretto Sunset,Triple sec,1/2 jigger ,Amaretto,3 shots ,Cider,1/2 cup ,Ice,Add 1/2 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Whitecap Margarita,Ice,1 cup ,Tequila,2 oz ,Cream of coconut,1/4 cup ,Lime juice,3 tblsp fresh ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Frozen Pineapple Daiquiri,Light rum,1 1/2 oz ,Pineapple,4 chunks ,Lime juice,1 tblsp ,Sugar,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Mother's Milk,Goldschlager,1 oz ,Butterscotch schnapps,1 oz ,Milk,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Downshift,Fruit punch,2 part ,Sprite,1 part ,Tequila,2 shots ,151 proof rum,Float Bacardi ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Thai Iced Tea,Tea,1/4 cup Thai ,Water,1/2 cup boiling ,Condensed milk,2 tsp sweetened ,Ice," cubes
",Mint, ,, ,, ,, ,, ,,,,,,,,,,,,
Apricot punch,Apricot brandy,1 qt ,Champagne,4 fifth ,Vodka,1 fifth ,7-Up,4 L ,Orange juice,1/2 gal ,, ,, ,, ,, ,, ,,,,,,,,,,
Spritz,Prosecco,6 cl,Campari,4 cl,Soda Water,splash,,,,,, ,, ,,,,,,,,,,,,,,,,
Spiking coffee,Coffee,"
",Cinnamon, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,,
Fuzzy Asshole,Coffee,1/2 ,Peach schnapps,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Midnight Cowboy,Bourbon,2 oz ,Dark rum,1 oz ,Heavy cream,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Almeria,Dark rum,2 oz ,Kahlua,1 oz ,Egg white,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
San Francisco,Vodka,2 cl ,Creme de Banane,2 cl ,Grenadine,"
",Orange juice, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Gin Sour,Gin,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Rum Screwdriver,Light rum,1 1/2 oz ,Orange juice,5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Snowball,Advocaat,1 1/2 oz ,Lemonade,8-10 oz cold ,Lemon,1 slice ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
Hot Creamy Bush,Irish whiskey,1 shot ,Bailey's irish cream,3/4 shot ,Coffee,6 oz hot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Artillery Punch,Tea,1 quart black ,Rye whiskey,1 quart ,Red wine,1 fifth ,Rum,1 pint Jamaican ,Brandy,1/2 pint ,Benedictine,1 1/2 oz ,Orange juice,1 pint ,Lemon juice,1/2 pint ,, ,, ,, ,, ,, ,,,,
Mango Orange Smoothie,Mango,1 ,Orange,2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Blackthorn,Sweet Vermouth,1 oz ,Sloe gin,1 1/2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Orange Oasis,Cherry brandy,1/2 oz ,Gin,1 1/2 oz ,Orange juice,4 oz ,Ginger ale,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
50/50,Vanilla vodka,2 1/2 oz ,Grand Marnier,1 splash ,Orange juice,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Strawberry Margarita,Strawberry schnapps,1/2 oz ,Tequila,1 oz ,Triple sec,1/2 oz ,Lemon juice,1 oz ,Strawberries,1 oz ,Salt,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
Quentin,Dark rum,1 1/2 oz ,Kahlua,1/2 oz ,Light cream,1 oz ,Nutmeg,1/8 tsp grated ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Banana Cantaloupe Smoothie,Cantaloupe,Juice of 1/2 ,Banana,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
410 Gone,Peach Vodka,2-3 oz,Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherry Eggnog,Sherry,2 oz cream ,Powdered sugar,1 tsp ,Egg,1 whole ,Milk,"
",Nutmeg, ,, ,, ,, ,, ,,,,,,,,,,,,
Old Pal,Rye whiskey,2 oz,Campari,1 oz,Dry Vermouth,1 oz,,,,,,,,,,,,,,,,,,,,,,,,
City Slicker,Brandy,2 oz ,Triple sec,1/2 oz ,Lemon juice,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Tequila Surprise,Tequila,full glass ,Tabasco sauce,About 8 drops ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Vesuvio,Light rum,1 oz ,Sweet Vermouth,1/2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Sol Y Sombra,Brandy,1 1/2 oz ,Anisette,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Amaretto Shake,Chocolate ice-cream,2 scoops ,Brandy,2 oz ,Amaretto,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
New York Sour,Blended whiskey,2 oz ,Lemon,Juice of 1/2 ,Sugar,1 tsp ,Red wine," (Claret)
",Lemon,"
",Cherry,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
Zima Blaster,Zima,12 oz ,Chambord raspberry liqueur,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Thai Coffee,Coffee,6 tblsp ground,Coriander,1/4 tsp ,Cardamom,4-5 whole green ,Sugar,,Whipping cream,,Ice,,,,,,,,,,,,,,,,,,,
Apple Grande,Tequila,3 oz ,Apple cider,12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Gagliardo,Peach Vodka,5 parts ,Lemon juice,3 parts ,Galliano,1 part ,Sirup of roses,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,
London Town,Gin,1 1/2 oz ,Maraschino liqueur,1/2 oz ,Orange bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Rail Splitter,Sugar syrup,2 tsp ,Lemon juice,"
",Ginger ale, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Apple Berry Smoothie,Berries,1 cup ,Apple,2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Irish Coffee,Irish whiskey,1 1/2 oz ,Coffee,8 oz ,Sugar,1 tsp ,Whipped cream,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Allies Cocktail,Dry Vermouth,1 oz ,Gin,1 oz ,Kummel,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Addington,Sweet Vermouth,2 shots ,Dry Vermouth,1 shot ,Soda Water,"Top up with
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
Apple Karate,Apple juice,2 cups ,Carrot,1 large ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Bruce's Puce,Grenadine,"
",Kahlua,"
",Bailey's irish cream,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
Afterglow,Grenadine,1 part ,Orange juice,4 parts ,Pineapple juice,4 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Loch Lomond,Scotch,2 oz ,Drambuie,1/2 oz ,Dry Vermouth,1/2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Fruit Cooler,Apple juice,1 can frozen ,Strawberries,1 cup ,Sugar,2 tblsp ,Lemon,1 ,Apple,1 ,Soda water,1 L ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,
H.D.,Whisky,4 cl ,Bailey's irish cream,8 cl ,Coffee,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
Egg Nog #4,Egg yolk,6 ,Sugar,1/4 cup ,Milk,2 cups ,Light rum,1/2 cup ,Bourbon,1/2 cup ,Vanilla extract,1 tsp ,Salt,1/4 tsp ,Whipping cream,1 cup ,Egg white,6 ,Sugar,1/4 cup ,Nutmeg,Ground ,, ,, ,, ,, 
Bruised Heart,Vodka,1/2 oz ,Chambord raspberry liqueur,1/2 oz ,Peachtree schnapps,1/2 oz ,Cranberry juice,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Pisco Sour,Pisco,2 oz ,Lemon juice,1 oz ,Sugar,1-2 tblsp ,Ice,,,,,,,,,,,,,,,,,,,,,,,
Adam Bomb,Rum,1 part ,Vodka,1 part ,Tequila,1 part ,Triple sec,1/2 part ,Fruit,"
",Ice,"
",Salt,1-3 pint ,Fruit juice, ,, ,, ,, ,, ,,,,,,
Arizona Stingers,Absolut Vodka,2 shots ,Iced tea,12 oz lemon ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
747,Kahlua,1/3 part ,Bailey's irish cream,1/3 part ,Frangelico,1/3 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Irish Cream,Scotch,1 cup ,Half-and-half,1 1/4 cup ,Condensed milk,1 can sweetened ,Coconut syrup,3 drops ,Chocolate syrup,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,
Fruit Flip-Flop,Yoghurt,1 cup ,Fruit juice,1 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Danbooka,Coffee,3 parts ,Everclear,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
